age,annual_income,risk_tolerance,investment_goal,stocks_current,bonds_current,crypto_current,sentiment_score,stocks_target,bonds_target,crypto_target
56,100-200,conservative,balanced,0.44822210018540587,0.531520372102218,0.02025752771237593,0.7962532370623792,0.2505830421235003,0.6511317325745017,0.098285225301998
69,100-200,moderate,income,0.29008538322325456,0.2749729920208404,0.4349416247559049,0.2368020784677022,0.41539497231906913,0.44776293401675743,0.13684209366417344
46,100-200,conservative,growth,0.5410935344045948,0.3931363602455576,0.06577010534984762,0.27309075864868265,0.26159428631685566,0.6269391568667688,0.11146655681637568
32,>200,moderate,growth,0.401095923323868,0.4708100196775392,0.12809405699859278,0.5982882360128859,0.4608523514859735,0.3465222666360978,0.19262538187792866
60,<50,conservative,income,0.6708929773733426,0.3011390930733311,0.02796792955332615,0.5720354723972746,0.2488878797241088,0.6948518134141684,0.05626030686172296
25,100-200,aggressive,income,0.49759831584276903,0.26726935771076077,0.2351323264464702,0.5205742501426748,0.6056164325458403,0.2662586117667272,0.12812495568743246
38,<50,moderate,income,0.38352762700592996,0.5348041472924853,0.08166822570158482,0.47775252779020894,0.3983250036431271,0.46929535046397963,0.13237964589289322
56,>200,aggressive,income,0.41605163950619894,0.3957422018258606,0.18820615866794052,0.5018473394050302,0.6274708784137445,0.17358341914581205,0.19894570244044354
36,50-100,moderate,balanced,0.523940611159924,0.31751379233096105,0.15854559650911515,0.5985085538943566,0.4850603948925911,0.38133058490128774,0.13360902020612098
40,100-200,aggressive,growth,0.47762145601010014,0.46885261559474817,0.05352592839515168,0.20145356232005684,0.6039197441511772,0.2023762173266748,0.19370403852214807
28,<50,conservative,balanced,0.5483701423741597,0.33802288199267033,0.11360697563316999,0.3824961418929965,0.24670631897877893,0.7292611530627423,0.024032527958478836
28,<50,conservative,growth,0.4455015611036712,0.5051698071587625,0.04932863173756642,0.5627958044820978,0.22094251205417154,0.7106887214506012,0.06836876649522736
41,100-200,conservative,growth,0.4264057714017922,0.4809060858198634,0.0926881427783445,0.7055512690715523,0.2815355265068108,0.6239766072228519,0.0944878662703374
53,50-100,moderate,income,0.5453862971561977,0.38311526271646634,0.07149844012733601,0.32190968467677744,0.41368097719996844,0.423268791399371,0.1630502314006606
57,50-100,aggressive,balanced,0.4117581848556257,0.3195014870840905,0.2687403280602838,0.5828168216512031,0.6749040078196903,0.1907974682627407,0.134298523917569
41,50-100,conservative,income,0.4068623915867492,0.575017394480664,0.018120213932586778,0.7001217787200472,0.29943632140085974,0.6308021327216459,0.06976154587749436
20,>200,aggressive,balanced,0.38331937116678877,0.4636377385716568,0.15304289026155454,0.5112393605397333,0.6531234660633228,0.20591482172149492,0.14096171221518228
39,<50,aggressive,growth,0.6908931656268517,0.23541114430913015,0.07369569006401815,0.21895679356903575,0.5649940181312156,0.3141206122007769,0.12088536966800738
19,<50,conservative,income,0.677721124195692,0.22467753356972975,0.0976013422345783,0.5144877109259457,0.2136010144199255,0.7296812423802951,0.056717743199779555
41,<50,conservative,income,0.5502253153766207,0.2915697554220208,0.15820492920135862,0.4075114214209072,0.2467274912456589,0.7303417567064918,0.022930752047849327
61,>200,aggressive,growth,0.5032044745679651,0.3248683052717174,0.17192722016031756,0.8507547253909298,0.6096189515539816,0.20535371680171763,0.1850273316443009
47,<50,conservative,growth,0.20944155299618739,0.6829415574878555,0.10761688951595728,0.2872293699748292,0.2150341682830721,0.745237195485783,0.03972863623114492
55,>200,conservative,growth,0.17007758918918114,0.7843443583664037,0.04557805244441511,0.6567331688550625,0.3241401304307346,0.5827223752766643,0.09313749429260107
19,50-100,conservative,income,0.4189992069679143,0.5079185626187306,0.07308223041335506,0.2369038364341508,0.272491538280836,0.637160134039529,0.09034832767963503
38,100-200,moderate,balanced,0.3410090231682202,0.6243244787227297,0.03466649810905012,0.5123193064688876,0.46479217103734055,0.35950906251969705,0.17569876644296234
50,<50,aggressive,income,0.5547204420129851,0.3655065100706952,0.07977304791631973,0.5877856410540564,0.6210408273394245,0.2613770755252128,0.1175820971353627
29,<50,aggressive,balanced,0.3984152994869814,0.3861183727538675,0.21546632775915103,0.4085684519218058,0.6050549171570219,0.31029271526782715,0.08465236757515093
39,50-100,moderate,income,0.4238899547316251,0.5483744011952771,0.027735644073097726,0.5185529448642691,0.44844559318401533,0.3985284314760776,0.15302597533990697
61,100-200,aggressive,income,0.2595017799755185,0.7206880553662217,0.019810164658259813,0.31448765617113117,0.6014987750396523,0.22987473121860685,0.1686264937417408
42,>200,conservative,growth,0.5214453486710681,0.33528811794912877,0.1432665333798032,0.41288669462762534,0.3027308769468233,0.5785259682100498,0.11874315484312693
66,100-200,aggressive,balanced,0.25499311194424973,0.6363118729899628,0.10869501506578742,0.6347744274371421,0.6125032879829305,0.21202455867499065,0.17547215334207894
44,50-100,conservative,income,0.6564477147210456,0.303327667465444,0.040224617813510485,0.41126003910280856,0.26301667125581346,0.6438113130346541,0.09317201570953246
59,50-100,moderate,income,0.555479536319651,0.3778403658764469,0.06668009780390219,0.8298201548862102,0.43090915830721377,0.4068491406187243,0.16224170107406208
45,100-200,conservative,growth,0.4947943272868311,0.3782066777273583,0.12699899498581063,0.6398848703486928,0.24826816493472165,0.6486878508976439,0.10304398416763445
33,>200,aggressive,growth,0.21919427117981308,0.6315379623558878,0.14926776646429912,0.5070543129051891,0.6504834694788725,0.15212751296970464,0.197389017551423
32,>200,aggressive,balanced,0.6704349809921695,0.18956144208319758,0.14000357692463292,0.22712985488792775,0.644278600598955,0.1798823708850646,0.17583902851598043
64,<50,aggressive,income,0.5267137293662913,0.4322901395222568,0.040996131111451777,0.5496838346432699,0.6019844406513482,0.2956781907353791,0.10233736861327274
68,>200,moderate,balanced,0.6368107764945186,0.1561972041284714,0.20699201937701012,0.7353433694875624,0.4528929343592,0.3367038084919027,0.21040325714889738
